Timestamp,V_P6V,I_P6V,R_P6V,P_P6V,V_N25V,I_N25V,R_N25V,P_N25V
2026-03-24 15:37:52,1.499729,0.014304,104.84682606263982,0.021452123616,1.498123,0.006536,229.21098531211751,0.009791731928000001
2026-03-24 15:37:54,1.499929,0.010525,142.51106888361045,0.015786752725,1.498123,0.004947,302.8346472609663,0.007411214481
2026-03-24 15:37:56,1.499929,0.009728,154.1867804276316,0.014591309312,1.498123,0.004323,346.5470737913487,0.0064763857289999996
2026-03-24 15:37:59,1.499929,0.009174,163.49781992587748,0.013760348646,1.498123,0.003775,396.8537748344371,0.005655414325000001
2026-03-24 15:38:01,1.499929,0.008951,167.5711093732544,0.013425864479000002,1.498123,0.003516,426.0873151308305,0.005267400468
2026-03-24 15:38:03,1.499929,0.008787,170.69864572664164,0.013179876123000001,1.498123,0.003315,451.9224736048266,0.004966277745
2026-03-24 15:38:05,1.499929,0.008649,173.4222453462828,0.012972885921000002,1.498123,0.003147,476.0479822052749,0.0047145930810000005
2026-03-24 15:38:07,1.499929,0.008541,175.6151504507669,0.012810893589,1.498123,0.003003,498.8754578754579,0.004498863369
2026-03-24 15:38:09,1.499929,0.008445,177.61148608644172,0.012666900404999999,1.498123,0.002876,520.9050764951321,0.004308601748
2026-03-24 15:38:12,1.499929,0.008364,179.3315399330464,0.012545406156,1.498123,0.002763,542.208830980818,0.004139313849
2026-03-24 15:38:14,1.499929,0.008286,181.0196717354574,0.012428411694,1.498123,0.002662,562.7809917355372,0.003988003426
2026-03-24 15:38:16,1.499929,0.008213,182.62863752587361,0.012318916877,1.498123,0.002576,581.5694875776397,0.0038591648480000005
2026-03-24 15:38:18,1.499929,0.008151,184.01778922831554,0.012225921279000001,1.498123,0.002497,599.9691629955947,0.0037408131310000003
2026-03-24 15:38:20,1.499929,0.008082,185.58883939618906,0.012122426178000002,1.498123,0.002422,618.5478943022296,0.0036284539060000005
2026-03-24 15:38:22,1.499929,0.00802,187.02356608478806,0.01202943058,1.498123,0.002357,635.605854900297,0.0035310759110000005
