Timestamp,V_P6V,I_P6V,R_P6V,P_P6V,V_P25V,I_P25V,R_P25V,P_P25V
2026-03-24 01:03:30,1.499929,0.004395,341.28077360637093,0.0065921879549999994,1.501248,0.001737,864.2763385146804,0.002607667776
2026-03-24 01:03:32,1.499929,0.004387,341.90312286300434,0.006580188523000001,1.501248,0.001731,867.2720970537262,0.0025986602879999997
2026-03-24 01:03:34,1.499929,0.004383,342.21514944102216,0.006574188807,1.501248,0.001726,869.7844727694089,0.002591154048
2026-03-24 01:03:36,1.499929,0.004378,342.6059844677935,0.006566689162,1.501248,0.001721,872.3114468332363,0.002583647808
2026-03-24 01:03:38,1.499929,0.004372,343.0761665141812,0.0065576895880000005,1.501248,0.001716,874.8531468531468,0.002576141568
2026-03-24 01:03:40,1.499929,0.004367,343.4689718342111,0.006550189943000001,1.501248,0.00171,877.9228070175438,0.0025671340799999997
2026-03-24 01:03:42,1.499929,0.004402,340.73807360290783,0.006602687458,1.501248,0.001706,879.981242672919,0.0025611290879999997
2026-03-24 01:03:44,1.499929,0.004395,341.28077360637093,0.0065921879549999994,1.501248,0.0017,883.0870588235294,0.0025521216
2026-03-24 01:03:47,1.499929,0.004394,341.3584433318161,0.006590688026000001,1.501248,0.001696,885.1698113207547,0.002546116608
2026-03-24 01:03:49,1.499929,0.004402,340.73807360290783,0.006602687458,1.501248,0.001691,887.7871082199881,0.002538610368
2026-03-24 01:03:51,1.499929,0.004408,340.27427404718696,0.006611687032,1.501248,0.001686,890.4199288256227,0.0025311041279999997
2026-03-24 01:03:53,1.499929,0.004406,340.4287335451657,0.006608687174,1.501248,0.001681,893.0684116597263,0.0025235978879999997
2026-03-24 01:03:55,1.499929,0.004401,340.81549647807316,0.006601187529000001,1.501248,0.001677,895.1985688729874,0.002517592896
2026-03-24 01:03:57,1.499929,0.004397,341.1255401410053,0.006595187813,1.500413,0.001675,895.7689552238805,0.002513191775
