Timestamp,V_P6V,I_P6V,R_P6V,P_P6V,V_P25V,I_P25V,R_P25V,P_P25V
2025-11-12 05:15:41,1.499929,0.00285,526.2908771929824,0.00427479765,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:15:43,1.499929,0.00285,526.2908771929824,0.00427479765,1.501248,0.001808,830.3362831858407,0.0027142563839999997
2025-11-12 05:15:45,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.500413,0.001807,830.3337022689541,0.002711246291
2025-11-12 05:15:47,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001808,830.3362831858407,0.0027142563839999997
2025-11-12 05:15:49,1.499929,0.002845,527.2158172231987,0.004267298005,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:15:51,1.499929,0.002845,527.2158172231987,0.004267298005,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:15:54,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001808,830.3362831858407,0.0027142563839999997
2025-11-12 05:15:56,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001808,830.3362831858407,0.0027142563839999997
2025-11-12 05:15:58,1.499929,0.002845,527.2158172231987,0.004267298005,1.501248,0.001808,830.3362831858407,0.0027142563839999997
2025-11-12 05:16:00,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001806,831.2558139534883,0.002711253888
2025-11-12 05:16:02,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001809,829.8772802653399,0.002715757632
2025-11-12 05:16:04,1.499929,0.002848,526.6604634831461,0.004271797792,1.501248,0.001808,830.3362831858407,0.0027142563839999997
2025-11-12 05:16:06,1.499929,0.002848,526.6604634831461,0.004271797792,1.501248,0.001808,830.3362831858407,0.0027142563839999997
2025-11-12 05:16:09,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:11,1.499929,0.002848,526.6604634831461,0.004271797792,1.501248,0.001808,830.3362831858407,0.0027142563839999997
2025-11-12 05:16:13,1.499929,0.002845,527.2158172231987,0.004267298005,1.501248,0.001808,830.3362831858407,0.0027142563839999997
2025-11-12 05:16:15,1.499929,0.002848,526.6604634831461,0.004271797792,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:17,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:19,1.499929,0.002845,527.2158172231987,0.004267298005,1.501248,0.001808,830.3362831858407,0.0027142563839999997
2025-11-12 05:16:22,1.499929,0.002848,526.6604634831461,0.004271797792,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:24,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:26,1.499929,0.002845,527.2158172231987,0.004267298005,1.501248,0.001806,831.2558139534883,0.002711253888
2025-11-12 05:16:28,1.499929,0.002845,527.2158172231987,0.004267298005,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:30,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:32,1.499929,0.002845,527.2158172231987,0.004267298005,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:34,1.499929,0.002845,527.2158172231987,0.004267298005,1.501248,0.001806,831.2558139534883,0.002711253888
2025-11-12 05:16:36,1.499929,0.002845,527.2158172231987,0.004267298005,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:38,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001806,831.2558139534883,0.002711253888
2025-11-12 05:16:40,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:43,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:45,1.499929,0.002843,527.5867041857193,0.004264298147,1.501248,0.001806,831.2558139534883,0.002711253888
2025-11-12 05:16:47,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001806,831.2558139534883,0.002711253888
2025-11-12 05:16:49,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001806,831.2558139534883,0.002711253888
2025-11-12 05:16:51,1.499929,0.002848,526.6604634831461,0.004271797792,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:53,1.499929,0.002845,527.2158172231987,0.004267298005,1.500413,0.001806,830.7934662236987,0.0027097458780000003
2025-11-12 05:16:55,1.499929,0.002847,526.8454513523006,0.004270297863000001,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:16:57,1.499929,0.002845,527.2158172231987,0.004267298005,1.501248,0.001806,831.2558139534883,0.002711253888
2025-11-12 05:16:59,1.499929,0.002848,526.6604634831461,0.004271797792,1.501248,0.001807,830.7957941339236,0.0027127551359999997
2025-11-12 05:17:01,1.499929,0.002845,527.2158172231987,0.004267298005,1.501248,0.001806,831.2558139534883,0.002711253888
2025-11-12 05:17:03,1.499929,0.002843,527.5867041857193,0.004264298147,1.501248,0.001806,831.2558139534883,0.002711253888
2025-11-12 05:17:06,1.499929,0.002845,527.2158172231987,0.004267298005,1.500413,0.001807,830.3337022689541,0.002711246291
